"data","Ricoverati positivi NON TI in discipline di Area Medica (qui intesi PER Covid-19)","Ricoverati positivi NON TI in discipline NON di Area Medica (qui intesi CON Covid-19)"
2021-01-31,318,43
2021-02-01,320,43
2021-02-02,324,45
2021-02-03,323,44
2021-02-04,329,43
2021-02-05,334,43
2021-02-06,350,38
2021-02-07,373,38
2021-02-08,385,38
2021-02-09,397,37
2021-02-10,389,37
2021-02-11,401,39
2021-02-12,412,27
2021-02-13,422,26
2021-02-14,426,25
2021-02-15,440,24
2021-02-16,441,22
2021-02-17,450,21
2021-02-18,449,20
2021-02-19,462,0
2021-02-20,443,16
2021-02-21,452,16
2021-02-22,459,16
2021-02-23,463,10
2021-02-24,450,10
2021-02-25,430,18
2021-02-26,425,16
2021-02-27,411,10
2021-02-28,427,9
2021-03-01,435,10
2021-03-02,435,11
2021-03-03,419,12
2021-03-04,424,12
2021-03-05,422,9
2021-03-06,417,9
2021-03-07,412,11
2021-03-08,422,10
2021-03-09,419,12
2021-03-10,403,10
2021-03-11,398,9
2021-03-12,395,8
2021-03-13,384,7
2021-03-14,393,9
2021-03-15,398,9
2021-03-16,393,9
2021-03-17,398,8
2021-03-18,398,6
2021-03-19,379,6
2021-03-20,365,7
2021-03-21,360,6
2021-03-22,381,7
2021-03-23,376,7
2021-03-24,375,7
2021-03-25,369,6
2021-03-26,371,5
2021-03-27,372,0
2021-03-28,365,0
2021-03-29,372,0
2021-03-30,354,0
2021-03-31,349,0
2021-04-01,331,4
2021-04-02,320,6
2021-04-03,308,9
2021-04-04,296,6
2021-04-05,298,5
2021-04-06,306,6
2021-04-07,310,5
2021-04-08,289,5
2021-04-09,281,5
2021-04-10,280,5
2021-04-11,267,5
2021-04-12,271,5
2021-04-13,274,5
2021-04-14,255,7
2021-04-15,248,10
2021-04-16,244,14
2021-04-17,227,10
2021-04-18,216,5
2021-04-19,222,5
2021-04-20,209,3
2021-04-21,201,5
2021-04-22,189,5
2021-04-23,181,6
2021-04-24,181,7
2021-04-25,171,8
2021-04-26,162,7
2021-04-27,158,6
2021-04-28,152,8
2021-04-29,162,7
2021-04-30,162,7
2021-05-01,158,7
2021-05-02,161,10
2021-05-03,161,12
2021-05-04,158,7
2021-05-05,142,4
2021-05-06,136,4
2021-05-07,133,6
2021-05-08,132,5
2021-05-09,128,7
2021-05-10,137,6
2021-05-11,128,12
2021-05-12,124,9
2021-05-13,119,6
2021-05-14,122,4
2021-05-15,118,4
2021-05-16,119,5
2021-05-17,109,5
2021-05-18,107,6
2021-05-19,101,5
2021-05-20,91,5
2021-05-21,85,4
2021-05-22,77,3
2021-05-23,75,3
2021-05-24,78,3
2021-05-25,73,4
2021-05-26,75,3
2021-05-27,76,3
2021-05-28,69,4
2021-05-29,63,5
2021-05-30,58,4
2021-05-31,60,4
2021-06-01,58,4
2021-06-02,51,4
2021-06-03,50,4
2021-06-04,48,4
2021-06-05,48,4
2021-06-06,41,4
2021-06-07,45,5
2021-06-08,43,1
2021-06-09,41,1
2021-06-10,41,1
2021-06-11,39,1
2021-06-12,37,4
2021-06-13,39,5
2021-06-14,35,6
2021-06-15,37,4
2021-06-16,30,2
2021-06-17,29,4
2021-06-18,29,4
2021-06-19,29,1
2021-06-20,26,0
2021-06-21,26,0
2021-06-22,25,1
2021-06-23,22,1
2021-06-24,20,1
2021-06-25,17,1
2021-06-26,16,1
2021-06-27,17,1
2021-06-28,17,1
2021-06-29,17,0
2021-06-30,14,1
2021-07-01,14,1
2021-07-02,11,1
2021-07-03,8,1
2021-07-04,10,1
2021-07-05,11,1
2021-07-06,12,1
2021-07-07,12,1
2021-07-08,12,1
2021-07-09,11,1
2021-07-10,8,1
2021-07-11,6,1
2021-07-12,7,1
2021-07-13,8,0
2021-07-14,8,0
2021-07-15,7,0
2021-07-16,4,0
2021-07-17,6,0
2021-07-18,7,0
2021-07-19,8,0
2021-07-20,9,0
2021-07-21,9,0
2021-07-22,11,0
2021-07-23,13,0
2021-07-24,9,0
2021-07-25,11,0
2021-07-26,11,0
2021-07-27,12,0
2021-07-28,13,0
2021-07-29,14,1
2021-07-30,13,1
2021-07-31,17,0
2021-08-01,18,0
2021-08-02,19,0
2021-08-03,17,0
2021-08-04,19,1
2021-08-05,17,1
2021-08-06,18,0
2021-08-07,23,1
2021-08-08,24,1
2021-08-09,27,2
2021-08-10,29,1
2021-08-11,30,0
2021-08-12,30,0
2021-08-13,32,0
2021-08-14,32,0
2021-08-15,32,1
2021-08-16,34,2
2021-08-17,42,3
2021-08-18,40,2
2021-08-19,46,3
2021-08-20,48,4
2021-08-21,50,3
2021-08-22,51,1
2021-08-23,52,1
2021-08-24,53,1
2021-08-25,53,1
2021-08-26,53,1
2021-08-27,51,0
2021-08-28,45,0
2021-08-29,50,1
2021-08-30,51,0
2021-08-31,48,0
2021-09-01,44,1
2021-09-02,44,2
2021-09-03,44,1
2021-09-04,44,1
2021-09-05,46,2
2021-09-06,48,2
2021-09-07,50,1
2021-09-08,52,1
2021-09-09,48,2
2021-09-10,50,2
2021-09-11,50,1
2021-09-12,45,1
2021-09-13,47,2
2021-09-14,45,1
2021-09-15,39,2
2021-09-16,41,2
2021-09-17,43,1
2021-09-18,45,0
2021-09-19,46,0
2021-09-20,46,0
2021-09-21,45,0
2021-09-22,40,2
2021-09-23,43,0
2021-09-24,42,0
2021-09-25,43,0
2021-09-26,44,0
2021-09-27,41,0
2021-09-28,39,0
2021-09-29,44,0
2021-09-30,42,0
2021-10-01,47,0
2021-10-02,46,0
2021-10-03,47,0
2021-10-04,44,0
2021-10-05,44,0
2021-10-06,44,0
2021-10-07,46,0
2021-10-08,49,0
2021-10-09,45,0
2021-10-10,41,0
2021-10-11,40,0
2021-10-12,39,0
2021-10-13,34,0
2021-10-14,31,0
2021-10-15,33,0
2021-10-16,32,0
2021-10-17,34,1
2021-10-18,35,1
2021-10-19,32,1
2021-10-20,30,1
2021-10-21,33,2
2021-10-22,35,1
2021-10-23,33,1
2021-10-24,34,0
2021-10-25,35,0
2021-10-26,34,0
2021-10-27,33,0
2021-10-28,34,1
2021-10-29,33,1
2021-10-30,34,1
2021-10-31,37,0
2021-11-01,38,0
2021-11-02,41,0
2021-11-03,40,0
2021-11-04,39,0
2021-11-05,42,0
2021-11-06,43,0
2021-11-07,42,0
2021-11-08,40,0
2021-11-09,38,0
2021-11-10,34,0
2021-11-11,34,0
2021-11-12,38,0
2021-11-13,36,0
2021-11-14,35,0
2021-11-15,38,0
2021-11-16,40,0
2021-11-17,39,0
2021-11-18,40,0
2021-11-19,37,0
2021-11-20,46,0
2021-11-21,46,2
2021-11-22,47,1
2021-11-23,45,2
2021-11-24,46,1
2021-11-25,48,1
2021-11-26,50,1
2021-11-27,53,0
2021-11-28,52,1
2021-11-29,51,1
2021-11-30,48,2
2021-12-01,45,2
2021-12-02,40,3
2021-12-03,41,3
2021-12-04,38,1
2021-12-05,41,2
2021-12-06,41,2
2021-12-07,40,0
2021-12-08,42,0
2021-12-09,44,0
2021-12-10,45,0
2021-12-11,44,1
2021-12-12,44,1
2021-12-13,46,1
2021-12-14,47,1
2021-12-15,46,2
2021-12-16,46,2
2021-12-17,50,1
2021-12-18,50,2
2021-12-19,53,2
2021-12-20,51,2
2021-12-21,54,2
2021-12-22,59,0
2021-12-23,65,0
2021-12-24,68,0
2021-12-25,69,0
2021-12-26,82,0
2021-12-27,93,0
2021-12-28,104,0
2021-12-29,114,0
2021-12-30,122,0
2021-12-31,122,0
2022-01-01,133,0
2022-01-02,151,0
2022-01-03,162,0
2022-01-04,177,0
2022-01-05,172,13
2022-01-06,167,14
2022-01-07,171,11
2022-01-08,180,12
2022-01-09,186,11
2022-01-10,193,12
2022-01-11,189,9
2022-01-12,202,6
2022-01-13,209,5
2022-01-14,203,1
2022-01-15,220,4
2022-01-16,214,4
2022-01-17,212,4
2022-01-18,201,5
2022-01-19,199,5
2022-01-20,193,9
2022-01-21,186,10
2022-01-22,179,10
2022-01-23,183,9
2022-01-24,180,11
2022-01-25,178,16
2022-01-26,176,14
2022-01-27,167,17
2022-01-28,172,20
2022-01-29,180,19
2022-01-30,188,17
2022-01-31,194,18
2022-02-01,195,20
2022-02-02,201,18
2022-02-03,202,19
2022-02-04,198,18
2022-02-05,199,19
2022-02-06,194,22
2022-02-07,202,18
2022-02-08,186,15
2022-02-09,190,15
2022-02-10,182,20
2022-02-11,167,27
2022-02-12,169,23
2022-02-13,176,21
2022-02-14,185,17
2022-02-15,190,14
2022-02-16,182,14
2022-02-17,168,17
2022-02-18,167,13
2022-02-19,157,12
2022-02-20,157,22
2022-02-21,162,13
2022-02-22,153,11
2022-02-23,141,17
2022-02-24,142,16
2022-02-25,142,10
2022-02-26,140,8
2022-02-27,138,9
2022-02-28,143,8
2022-03-01,144,6
2022-03-02,133,10
2022-03-03,137,9
2022-03-04,133,9
2022-03-05,127,9
2022-03-06,120,10
2022-03-07,129,13
2022-03-08,127,12
2022-03-09,128,7
2022-03-10,130,12
2022-03-11,140,9
2022-03-12,142,12
2022-03-13,143,12
2022-03-14,154,12
2022-03-15,152,16
2022-03-16,147,20
2022-03-17,160,23
2022-03-18,153,23
2022-03-19,162,22
2022-03-20,161,26
2022-03-21,166,30
2022-03-22,169,23
2022-03-23,172,19
2022-03-24,171,28
2022-03-25,175,25
2022-03-26,174,25
2022-03-27,186,25
2022-03-28,186,26
2022-03-29,182,34
2022-03-30,187,37
2022-03-31,191,38
2022-04-01,204,38
2022-04-02,201,52
2022-04-03,208,57
2022-04-04,208,58
2022-04-05,213,68
2022-04-06,207,72
2022-04-07,200,73
2022-04-08,197,77
2022-04-09,197,78
2022-04-10,192,86
2022-04-11,196,82
2022-04-12,187,83
2022-04-13,188,84
2022-04-14,181,87
